,UNIT_SETTLER,UNIT_BUILDER,UNIT_TRADER,UNIT_MISSIONARY,UNIT_APOSTLE,UNIT_INQUISITOR,UNIT_GURU,UNIT_WARRIOR_MONK,UNIT_ARCHAEOLOGIST,UNIT_GREAT_GENERAL,UNIT_GREAT_ADMIRAL,UNIT_GREAT_ENGINEER,UNIT_GREAT_MERCHANT,UNIT_GREAT_PROPHET,UNIT_GREAT_SCIENTIST,UNIT_GREAT_WRITER,UNIT_GREAT_ARTIST,UNIT_GREAT_MUSICIAN,UNIT_SPY,UNIT_NATURALIST,UNIT_SCOUT,UNIT_WARRIOR,UNIT_SLINGER,UNIT_BARBARIAN_HORSEMAN,UNIT_BARBARIAN_HORSE_ARCHER,UNIT_SUMERIAN_WAR_CART,UNIT_GALLEY,UNIT_NORWEGIAN_LONGSHIP,UNIT_ARCHER,UNIT_SPEARMAN,UNIT_HEAVY_CHARIOT,UNIT_BATTERING_RAM,UNIT_GREEK_HOPLITE,UNIT_SWORDSMAN,UNIT_HORSEMAN,UNIT_SCYTHIAN_HORSE_ARCHER,UNIT_ROMAN_LEGION,UNIT_KONGO_SHIELD_BEARER,UNIT_CATAPULT,UNIT_SIEGE_TOWER,UNIT_QUADRIREME,UNIT_EGYPTIAN_CHARIOT_ARCHER,UNIT_JAPANESE_SAMURAI,UNIT_NORWEGIAN_BERSERKER,UNIT_KNIGHT,UNIT_INDIAN_VARU,UNIT_ARABIAN_MAMLUK,UNIT_CROSSBOWMAN,UNIT_CHINESE_CROUCHING_TIGER,UNIT_MILITARY_ENGINEER,UNIT_PIKEMAN,UNIT_MUSKETMAN,UNIT_SPANISH_CONQUISTADOR,UNIT_CARAVEL,UNIT_BOMBARD,UNIT_FRIGATE,UNIT_PRIVATEER,UNIT_ENGLISH_SEADOG,UNIT_FIELD_CANNON,UNIT_CAVALRY,UNIT_RUSSIAN_COSSACK,UNIT_ENGLISH_REDCOAT,UNIT_FRENCH_GARDE_IMPERIALE,UNIT_MEDIC,UNIT_IRONCLAD,UNIT_RANGER,UNIT_OBSERVATION_BALLOON,UNIT_BIPLANE,UNIT_INFANTRY,UNIT_ARTILLERY,UNIT_BATTLESHIP,UNIT_BRAZILIAN_MINAS_GERAES,UNIT_SUBMARINE,UNIT_GERMAN_UBOAT,UNIT_AT_CREW,UNIT_TANK,UNIT_FIGHTER,UNIT_AMERICAN_P51,UNIT_BOMBER,UNIT_ANTIAIR_GUN,UNIT_MACHINE_GUN,UNIT_AIRCRAFT_CARRIER,UNIT_DESTROYER,UNIT_HELICOPTER,UNIT_NUCLEAR_SUBMARINE,UNIT_MECHANIZED_INFANTRY,UNIT_ROCKET_ARTILLERY,UNIT_MOBILE_SAM,UNIT_JET_FIGHTER,UNIT_JET_BOMBER,UNIT_MISSILE_CRUISER,UNIT_MODERN_AT,UNIT_MODERN_ARMOR,UNIT_MAN_AT_ARMS,UNIT_LINE_INFANTRY,UNIT_TREBUCHET,UNIT_AZTEC_EAGLE_WARRIOR,UNIT_INDONESIAN_JONG,UNIT_KHMER_DOMREY,UNIT_POLISH_HUSSAR,UNIT_NUBIAN_PITATI,UNIT_MACEDONIAN_HYPASPIST,UNIT_MACEDONIAN_HETAIROI,UNIT_PERSIAN_IMMORTAL,UNIT_DIGGER,UNIT_ZULU_IMPI,UNIT_KOREAN_HWACHA,UNIT_SCOTTISH_HIGHLANDER,UNIT_DE_ZEVEN_PROVINCIEN,UNIT_MONGOLIAN_KESHIG,UNIT_GEORGIAN_KHEVSURETI,UNIT_MAPUCHE_MALON_RAIDER,UNIT_CREE_OKIHTCITAW,UNIT_SPEC_OPS,UNIT_DRONE,UNIT_PIKE_AND_SHOT,UNIT_SUPPLY_CONVOY,UNIT_SKIRMISHER,UNIT_COURSER,UNIT_CUIRASSIER,UNIT_GIANT_DEATH_ROBOT,UNIT_ROCK_BAND,UNIT_CANADA_MOUNTIE,UNIT_HUNGARY_BLACK_ARMY,UNIT_HUNGARY_HUSZAR,UNIT_INCA_WARAKAQ,UNIT_MALI_MANDEKALU_CAVALRY,UNIT_MAORI_TOA,UNIT_OTTOMAN_BARBARY_CORSAIR,UNIT_PHOENICIA_BIREME,UNIT_SULEIMAN_JANISSARY,UNIT_SWEDEN_CAROLEAN,UNIT_AMERICAN_ROUGH_RIDER,UNIT_MAYAN_HULCHE,UNIT_LAHORE_NIHANG,UNIT_COMANDANTE_GENERAL,UNIT_COLOMBIAN_LLANERO,UNIT_BYZANTINE_DROMON,UNIT_BYZANTINE_TAGMA,UNIT_GAUL_GAESATAE,UNIT_VIETNAMESE_VOI_CHIEN,UNIT_ETHIOPIAN_OROMO_CAVALRY,UNIT_BABYLONIAN_SABUM_KIBITTUM,UNIT_PORTUGUESE_NAU
UNIT_LAHORE_NIHANG, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.31, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 3.17, 1.44, 1.94, 1.44, 1.46, 0.69, 0.69, 0.45, 0.61, 1.20, 0.79, 100.00, 0.95, 0.45, 0.43, 0.65, 0.31, 0.36, 0.43, 100.00, 0.65, 0.31, 0.16, 0.17, 0.14, 0.31, 0.14, 0.22, 0.21, 100.00, 0.26, 0.09, 0.08, 0.09, 0.11, 0.07, 0.11, 0.09, 0.05, 0.07, 0.06, 0.05, 0.05, 100.00, 0.05, 0.08, 100.00, 0.01, 0.04, 0.04, 0.04, 0.02, 0.03, 0.03, 0.04, 0.03, 0.01, 0.01, 0.01, 82.58, 0.02, 0.06, 0.03, 0.03, 0.01, 0.03, 0.02, 82.58, 0.00, 0.01, 0.02, 0.03, 0.02, 0.21, 0.06, 0.21, 0.79, 0.07, 0.15, 0.07, 0.50, 0.36, 0.43, 0.32, 0.04, 0.26, 0.07, 0.06, 0.05, 0.15, 0.16, 0.09, 1.44, 0.04, 100.00, 0.11, 100.00, 0.59, 0.19, 0.07, 0.01, 100.00, 0.07, 0.15, 0.06, 0.45, 0.09, 0.36, 0.11, 0.45, 0.08, 0.07, 0.06, 0.56, 1.00, 100.00, 0.07, 0.57, 0.14, 1.00, 0.17, 0.16, 1.44, 100.00, 1.86, 0.09
UNIT_COMANDANTE_GENERAL, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01
UNIT_COLOMBIAN_LLANERO, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 5.46, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 25.00, 16.66, 12.50, 16.66, 11.11, 11.11, 11.11, 8.65, 8.33, 10.98, 12.50, 100.00, 8.89, 8.65, 7.55, 7.69, 5.46, 6.42, 8.33, 100.00, 7.69, 5.88, 3.05, 2.95, 2.53, 5.46, 2.53, 4.54, 3.57, 100.00, 2.56, 1.69, 1.35, 1.69, 2.15, 1.52, 2.22, 1.97, 1.02, 1.00, 0.69, 0.53, 0.54, 100.00, 0.54, 1.35, 100.00, 0.13, 0.36, 0.54, 0.46, 0.21, 0.32, 0.32, 0.24, 0.16, 0.03, 0.03, 0.05, 82.58, 0.19, 0.79, 0.16, 0.15, 0.11, 0.16, 0.20, 82.58, 0.02, 0.04, 0.13, 0.11, 0.08, 3.88, 0.79, 4.79, 12.50, 1.52, 3.09, 0.88, 7.14, 6.42, 7.55, 8.65, 0.29, 2.56, 1.35, 0.90, 1.02, 3.45, 3.05, 1.69, 16.66, 0.51, 100.00, 1.16, 100.00, 6.66, 3.51, 0.88, 0.02, 100.00, 1.00, 2.78, 0.79, 5.26, 1.69, 6.42, 2.22, 8.65, 1.14, 0.59, 0.69, 7.69, 14.28, 100.00, 1.00, 7.14, 2.53, 13.33, 3.75, 3.05, 16.66, 100.00, 12.73, 1.69
UNIT_BYZANTINE_DROMON, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.35, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 3.68, 2.43, 6.09, 1.68, 4.21, 0.75, 0.75, 0.51, 3.02, 1.74, 1.42, 100.00, 1.42, 0.92, 0.48, 1.93, 0.69, 0.78, 0.99, 100.00, 1.00, 1.51, 0.50, 0.64, 0.23, 0.69, 0.23, 1.08, 0.84, 100.00, 0.56, 0.38, 0.34, 0.19, 0.40, 0.20, 0.25, 0.25, 0.34, 0.14, 0.12, 0.26, 0.22, 100.00, 0.11, 0.20, 100.00, 0.05, 0.16, 0.22, 0.10, 0.07, 0.09, 0.09, 0.16, 0.06, 0.02, 0.02, 0.04, 7.84, 0.16, 0.12, 0.06, 0.06, 0.05, 0.06, 0.07, 6.53, 0.02, 0.02, 0.05, 0.06, 0.04, 0.56, 0.24, 0.60, 1.42, 0.20, 0.50, 0.14, 1.79, 0.78, 0.48, 0.92, 0.18, 0.56, 0.40, 0.17, 0.17, 0.49, 0.50, 0.19, 1.68, 0.11, 100.00, 0.38, 100.00, 1.59, 0.27, 0.14, 0.02, 100.00, 0.14, 0.24, 0.12, 1.08, 0.19, 0.78, 0.25, 0.51, 0.30, 0.14, 0.12, 2.79, 1.74, 100.00, 0.14, 1.00, 0.23, 2.43, 0.60, 0.25, 2.43, 100.00, 2.16, 0.19
UNIT_BYZANTINE_TAGMA, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 2.20, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 16.66, 10.85, 7.69, 10.85, 7.14, 4.73, 4.73, 3.17, 5.26, 4.79, 5.46, 100.00, 3.72, 3.17, 3.05, 4.86, 2.20, 2.53, 4.00, 100.00, 4.86, 2.86, 1.14, 1.16, 1.00, 2.20, 1.00, 1.94, 1.50, 100.00, 1.00, 0.69, 0.54, 0.69, 0.82, 0.59, 0.88, 0.79, 0.40, 0.39, 0.26, 0.20, 0.21, 100.00, 0.21, 0.52, 100.00, 0.04, 0.14, 0.21, 0.18, 0.08, 0.13, 0.13, 0.10, 0.08, 0.02, 0.02, 0.03, 82.58, 0.08, 0.31, 0.08, 0.07, 0.04, 0.08, 0.08, 82.58, 0.01, 0.02, 0.06, 0.06, 0.05, 1.44, 0.31, 1.80, 5.46, 0.59, 1.26, 0.32, 4.54, 2.53, 3.05, 3.17, 0.11, 1.00, 0.52, 0.36, 0.40, 1.28, 1.14, 0.69, 10.85, 0.20, 100.00, 0.46, 100.00, 4.23, 1.35, 0.32, 0.01, 100.00, 0.39, 1.07, 0.31, 3.35, 0.69, 2.53, 0.88, 3.17, 0.45, 0.22, 0.26, 4.76, 7.27, 100.00, 0.39, 4.35, 1.00, 7.09, 1.46, 1.14, 10.85, 100.00, 6.50, 0.69
UNIT_GAUL_GAESATAE, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.30, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.48, 1.00, 1.02, 1.00, 0.79, 0.67, 0.67, 0.46, 0.33, 1.23, 0.78, 100.00, 0.95, 0.46, 0.42, 0.45, 0.30, 0.36, 0.50, 100.00, 0.45, 0.33, 0.16, 0.20, 0.14, 0.30, 0.14, 0.24, 0.23, 100.00, 0.25, 0.10, 0.09, 0.10, 0.13, 0.09, 0.12, 0.11, 0.07, 0.07, 0.06, 0.06, 0.05, 100.00, 0.05, 0.11, 100.00, 0.02, 0.04, 0.04, 0.04, 0.03, 0.04, 0.04, 0.04, 0.02, 0.01, 0.01, 0.01, 7.86, 0.03, 0.06, 0.02, 0.02, 0.02, 0.02, 0.03, 7.86, 0.00, 0.01, 0.02, 0.03, 0.02, 0.21, 0.06, 0.26, 0.78, 0.09, 0.18, 0.06, 0.27, 0.36, 0.42, 0.33, 0.04, 0.25, 0.09, 0.08, 0.07, 0.17, 0.16, 0.10, 1.00, 0.04, 100.00, 0.13, 100.00, 0.40, 0.19, 0.06, 0.01, 100.00, 0.07, 0.15, 0.06, 0.31, 0.10, 0.36, 0.12, 0.46, 0.07, 0.07, 0.06, 0.30, 1.00, 100.00, 0.07, 0.41, 0.14, 1.00, 0.20, 0.16, 1.00, 100.00, 0.86, 0.10
UNIT_VIETNAMESE_VOI_CHIEN, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.53, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 16.16, 8.27, 8.14, 7.06, 6.95, 3.20, 2.36, 1.63, 4.80, 5.88, 4.66, 100.00, 4.66, 2.86, 2.06, 3.30, 2.08, 2.32, 4.14, 100.00, 1.70, 2.34, 1.20, 1.03, 0.68, 2.08, 0.68, 1.66, 1.25, 100.00, 1.47, 0.78, 0.63, 0.35, 0.98, 0.20, 0.28, 0.23, 0.45, 0.27, 0.19, 0.38, 0.34, 100.00, 0.13, 0.31, 100.00, 0.05, 0.28, 0.29, 0.06, 0.05, 0.06, 0.06, 0.28, 0.09, 0.03, 0.03, 0.04, 131.92, 0.18, 0.15, 0.07, 0.09, 0.03, 0.09, 0.08, 130.61, 0.02, 0.03, 0.04, 0.09, 0.06, 1.47, 0.40, 1.92, 4.66, 0.20, 1.37, 0.23, 2.96, 2.32, 2.06, 2.86, 0.26, 1.47, 0.56, 0.20, 0.13, 0.82, 1.20, 0.47, 7.06, 0.14, 100.00, 0.78, 100.00, 2.64, 0.95, 0.23, 0.02, 100.00, 0.27, 0.73, 0.20, 1.84, 0.47, 2.32, 0.28, 1.63, 0.56, 0.23, 0.19, 4.28, 5.88, 100.00, 0.27, 1.66, 0.68, 5.12, 1.00, 0.80, 8.27, 100.00, 9.02, 0.35
UNIT_ETHIOPIAN_OROMO_CAVALRY, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.86, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 14.28, 9.01, 7.14, 9.01, 6.66, 4.08, 4.08, 2.78, 5.00, 4.14, 4.73, 100.00, 3.24, 2.78, 2.53, 4.09, 1.86, 2.20, 3.53, 100.00, 4.09, 2.47, 1.00, 1.00, 0.88, 1.86, 0.88, 1.65, 1.30, 100.00, 0.86, 0.59, 0.45, 0.59, 0.72, 0.51, 0.76, 0.67, 0.35, 0.32, 0.22, 0.19, 0.18, 100.00, 0.18, 0.45, 100.00, 0.05, 0.11, 0.18, 0.16, 0.07, 0.10, 0.10, 0.09, 0.07, 0.02, 0.02, 0.03, 82.58, 0.07, 0.26, 0.07, 0.07, 0.04, 0.07, 0.07, 82.58, 0.01, 0.02, 0.05, 0.06, 0.05, 1.26, 0.26, 1.56, 4.73, 0.51, 1.05, 0.28, 4.16, 2.20, 2.53, 2.78, 0.10, 0.86, 0.45, 0.31, 0.35, 1.11, 1.00, 0.59, 9.01, 0.18, 100.00, 0.39, 100.00, 3.61, 1.14, 0.28, 0.01, 100.00, 0.32, 0.93, 0.26, 2.82, 0.59, 2.20, 0.76, 2.78, 0.39, 0.19, 0.22, 4.54, 6.20, 100.00, 0.32, 4.00, 0.88, 6.06, 1.25, 1.00, 9.01, 100.00, 5.86, 0.59
UNIT_VAMPIRE, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.21, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 2.20, 1.00, 1.28, 1.00, 0.98, 0.45, 0.45, 0.31, 0.43, 0.83, 0.54, 100.00, 0.65, 0.31, 0.28, 0.45, 0.21, 0.24, 0.31, 100.00, 0.45, 0.22, 0.11, 0.13, 0.09, 0.21, 0.09, 0.15, 0.14, 100.00, 0.17, 0.08, 0.07, 0.08, 0.07, 0.05, 0.07, 0.07, 0.04, 0.06, 0.05, 0.04, 0.04, 100.00, 0.04, 0.06, 100.00, 0.01, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.03, 0.02, 0.00, 0.00, 0.01, 82.58, 0.02, 0.05, 0.02, 0.02, 0.01, 0.02, 0.02, 82.58, 0.00, 0.01, 0.01, 0.02, 0.02, 0.14, 0.05, 0.15, 0.54, 0.05, 0.11, 0.05, 0.36, 0.24, 0.28, 0.23, 0.03, 0.17, 0.05, 0.04, 0.04, 0.11, 0.11, 0.08, 1.00, 0.03, 100.00, 0.08, 100.00, 0.40, 0.13, 0.05, 0.01, 100.00, 0.06, 0.11, 0.05, 0.31, 0.08, 0.24, 0.07, 0.31, 0.06, 0.06, 0.05, 0.40, 0.69, 100.00, 0.06, 0.41, 0.09, 1.00, 0.12, 0.11, 1.00, 100.00, 1.26, 0.08
UNIT_CULTIST, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01
UNIT_BABYLONIAN_SABUM_KIBITTUM, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.16, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.69, 0.79, 1.02, 1.54, 0.76, 0.70, 0.36, 0.24, 0.46, 0.65, 0.82, 100.00, 0.52, 0.24, 0.44, 0.36, 0.16, 0.19, 0.30, 100.00, 0.36, 0.21, 0.09, 0.11, 0.15, 0.32, 0.15, 0.14, 0.12, 100.00, 0.13, 0.07, 0.06, 0.07, 0.06, 0.05, 0.07, 0.07, 0.04, 0.08, 0.06, 0.04, 0.04, 100.00, 0.04, 0.05, 100.00, 0.01, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.03, 0.03, 0.00, 0.00, 0.01, 82.58, 0.02, 0.05, 0.02, 0.03, 0.01, 0.02, 0.02, 82.58, 0.00, 0.01, 0.01, 0.02, 0.02, 0.11, 0.05, 0.14, 0.43, 0.05, 0.09, 0.07, 0.38, 0.19, 0.44, 0.24, 0.02, 0.13, 0.05, 0.04, 0.04, 0.10, 0.09, 0.12, 0.79, 0.03, 100.00, 0.07, 100.00, 0.32, 0.20, 0.07, 0.01, 100.00, 0.08, 0.17, 0.07, 0.25, 0.12, 0.19, 0.07, 0.24, 0.06, 0.05, 0.06, 0.43, 0.54, 100.00, 0.08, 0.46, 0.15, 1.16, 0.11, 0.17, 0.79, 100.00, 1.00, 0.07
UNIT_PORTUGUESE_NAU, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 3.17, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 20.00, 12.50, 14.29, 12.50, 12.50, 7.27, 7.27, 4.73, 9.09, 10.85, 8.65, 100.00, 8.65, 4.73, 4.50, 7.69, 3.17, 3.88, 4.23, 100.00, 5.88, 6.08, 1.69, 1.73, 1.44, 3.17, 1.44, 4.00, 3.33, 100.00, 2.20, 1.00, 0.79, 1.00, 0.88, 0.88, 1.28, 1.14, 0.82, 0.59, 0.39, 0.31, 0.31, 100.00, 0.31, 1.13, 100.00, 0.07, 0.21, 0.21, 0.28, 0.13, 0.18, 0.18, 0.21, 0.09, 0.02, 0.02, 0.04, 82.58, 0.16, 0.45, 0.09, 0.09, 0.06, 0.09, 0.11, 82.58, 0.01, 0.03, 0.08, 0.09, 0.06, 2.20, 0.45, 1.94, 8.65, 0.88, 1.28, 0.48, 7.69, 3.88, 4.50, 4.73, 0.16, 2.20, 1.13, 0.75, 0.59, 2.75, 1.69, 1.00, 12.50, 0.42, 100.00, 1.00, 100.00, 7.14, 2.05, 0.48, 0.02, 100.00, 0.59, 1.59, 0.45, 5.88, 1.00, 3.88, 1.28, 4.73, 0.69, 0.48, 0.39, 9.09, 10.85, 100.00, 0.59, 5.26, 1.44, 9.48, 2.88, 1.69, 12.50, 100.00, 14.28, 1.00
,UNIT_SETTLER,UNIT_BUILDER,UNIT_TRADER,UNIT_MISSIONARY,UNIT_APOSTLE,UNIT_INQUISITOR,UNIT_GURU,UNIT_WARRIOR_MONK,UNIT_ARCHAEOLOGIST,UNIT_GREAT_GENERAL,UNIT_GREAT_ADMIRAL,UNIT_GREAT_ENGINEER,UNIT_GREAT_MERCHANT,UNIT_GREAT_PROPHET,UNIT_GREAT_SCIENTIST,UNIT_GREAT_WRITER,UNIT_GREAT_ARTIST,UNIT_GREAT_MUSICIAN,UNIT_SPY,UNIT_NATURALIST,UNIT_SCOUT,UNIT_WARRIOR,UNIT_SLINGER,UNIT_BARBARIAN_HORSEMAN,UNIT_BARBARIAN_HORSE_ARCHER,UNIT_SUMERIAN_WAR_CART,UNIT_GALLEY,UNIT_NORWEGIAN_LONGSHIP,UNIT_ARCHER,UNIT_SPEARMAN,UNIT_HEAVY_CHARIOT,UNIT_BATTERING_RAM,UNIT_GREEK_HOPLITE,UNIT_SWORDSMAN,UNIT_HORSEMAN,UNIT_SCYTHIAN_HORSE_ARCHER,UNIT_ROMAN_LEGION,UNIT_KONGO_SHIELD_BEARER,UNIT_CATAPULT,UNIT_SIEGE_TOWER,UNIT_QUADRIREME,UNIT_EGYPTIAN_CHARIOT_ARCHER,UNIT_JAPANESE_SAMURAI,UNIT_NORWEGIAN_BERSERKER,UNIT_KNIGHT,UNIT_INDIAN_VARU,UNIT_ARABIAN_MAMLUK,UNIT_CROSSBOWMAN,UNIT_CHINESE_CROUCHING_TIGER,UNIT_MILITARY_ENGINEER,UNIT_PIKEMAN,UNIT_MUSKETMAN,UNIT_SPANISH_CONQUISTADOR,UNIT_CARAVEL,UNIT_BOMBARD,UNIT_FRIGATE,UNIT_PRIVATEER,UNIT_ENGLISH_SEADOG,UNIT_FIELD_CANNON,UNIT_CAVALRY,UNIT_RUSSIAN_COSSACK,UNIT_ENGLISH_REDCOAT,UNIT_FRENCH_GARDE_IMPERIALE,UNIT_MEDIC,UNIT_IRONCLAD,UNIT_RANGER,UNIT_OBSERVATION_BALLOON,UNIT_BIPLANE,UNIT_INFANTRY,UNIT_ARTILLERY,UNIT_BATTLESHIP,UNIT_BRAZILIAN_MINAS_GERAES,UNIT_SUBMARINE,UNIT_GERMAN_UBOAT,UNIT_AT_CREW,UNIT_TANK,UNIT_FIGHTER,UNIT_AMERICAN_P51,UNIT_BOMBER,UNIT_ANTIAIR_GUN,UNIT_MACHINE_GUN,UNIT_AIRCRAFT_CARRIER,UNIT_DESTROYER,UNIT_HELICOPTER,UNIT_NUCLEAR_SUBMARINE,UNIT_MECHANIZED_INFANTRY,UNIT_ROCKET_ARTILLERY,UNIT_MOBILE_SAM,UNIT_JET_FIGHTER,UNIT_JET_BOMBER,UNIT_MISSILE_CRUISER,UNIT_MODERN_AT,UNIT_MODERN_ARMOR,UNIT_MAN_AT_ARMS,UNIT_LINE_INFANTRY,UNIT_TREBUCHET,UNIT_AZTEC_EAGLE_WARRIOR,UNIT_INDONESIAN_JONG,UNIT_KHMER_DOMREY,UNIT_POLISH_HUSSAR,UNIT_NUBIAN_PITATI,UNIT_MACEDONIAN_HYPASPIST,UNIT_MACEDONIAN_HETAIROI,UNIT_PERSIAN_IMMORTAL,UNIT_DIGGER,UNIT_ZULU_IMPI,UNIT_KOREAN_HWACHA,UNIT_SCOTTISH_HIGHLANDER,UNIT_DE_ZEVEN_PROVINCIEN,UNIT_MONGOLIAN_KESHIG,UNIT_GEORGIAN_KHEVSURETI,UNIT_MAPUCHE_MALON_RAIDER,UNIT_CREE_OKIHTCITAW,UNIT_SPEC_OPS,UNIT_DRONE,UNIT_PIKE_AND_SHOT,UNIT_SUPPLY_CONVOY,UNIT_SKIRMISHER,UNIT_COURSER,UNIT_CUIRASSIER,UNIT_GIANT_DEATH_ROBOT,UNIT_ROCK_BAND,UNIT_CANADA_MOUNTIE,UNIT_HUNGARY_BLACK_ARMY,UNIT_HUNGARY_HUSZAR,UNIT_INCA_WARAKAQ,UNIT_MALI_MANDEKALU_CAVALRY,UNIT_MAORI_TOA,UNIT_OTTOMAN_BARBARY_CORSAIR,UNIT_PHOENICIA_BIREME,UNIT_SULEIMAN_JANISSARY,UNIT_SWEDEN_CAROLEAN,UNIT_AMERICAN_ROUGH_RIDER,UNIT_MAYAN_HULCHE,UNIT_LAHORE_NIHANG,UNIT_COMANDANTE_GENERAL,UNIT_COLOMBIAN_LLANERO,UNIT_BYZANTINE_DROMON,UNIT_BYZANTINE_TAGMA,UNIT_GAUL_GAESATAE,UNIT_VIETNAMESE_VOI_CHIEN,UNIT_ETHIOPIAN_OROMO_CAVALRY,UNIT_VAMPIRE,UNIT_CULTIST,UNIT_BABYLONIAN_SABUM_KIBITTUM,UNIT_PORTUGUESE_NAU
